sample_type,N_rate,P_rate,K_rate,Zn_rate,global_warming,freshwater_eutrophication,terrestrial_acidification,terrestrial_ecotoxicity
OAT_P,135,44.6116,35,20,5108.81206,0.388884013,23.14445471,13556.13658
OAT_P,135,45.7435,35,20,5112.102035,0.390015852,23.16070743,13560.85467
OAT_P,135,52.1788,35,20,5130.806846,0.396450808,23.25311059,13587.67891
OAT_P,135,52.4391,35,20,5131.563433,0.396711094,23.25684819,13588.76392
OAT_P,135,42.5341,35,20,5102.773609,0.386806624,23.1146243,13547.47694
OAT_P,135,54.4018,35,20,5137.268207,0.398673689,23.2850302,13596.94504
OAT_P,135,48.0905,35,20,5118.923814,0.392362727,23.19440752,13570.63767
OAT_P,135,52.6967,35,20,5132.312172,0.396968681,23.26054701,13589.83768
OAT_P,135,55.3221,35,20,5139.943146,0.39959394,23.2982446,13600.78112
OAT_P,135,46.3689,35,20,5113.91982,0.390641219,23.16968742,13563.46153
OAT_P,135,51.6536,35,20,5129.280302,0.395925636,23.24556935,13585.48972
OAT_P,135,54.6192,35,20,5137.900101,0.398891078,23.2881518,13597.85123
OAT_P,135,52.0292,35,20,5130.37202,0.396301216,23.25096252,13587.05534
OAT_P,135,45.524,35,20,5111.464038,0.389796364,23.15755567,13559.93973
OAT_P,135,49.1939,35,20,5122.130951,0.393466068,23.21025102,13575.23696
OAT_P,135,40.6266,35,20,5097.229279,0.384899225,23.0872349,13539.52591
OAT_P,135,54.4997,35,20,5137.552763,0.398771584,23.28643593,13597.35311
OAT_P,135,55.9158,35,20,5141.668792,0.400187609,23.30676942,13603.25584
OAT_P,135,55.4078,35,20,5140.192242,0.399679636,23.29947515,13601.13835
OAT_P,135,43.2992,35,20,5104.997445,0.387571683,23.12561022,13550.66611
OAT_P,135,53.6995,35,20,5135.226905,0.397971427,23.27494602,13594.01764
OAT_P,135,40.786,35,20,5097.69259,0.385058617,23.08952369,13540.19034
OAT_P,135,49.6804,35,20,5123.545009,0.393952542,23.21723658,13577.26484
OAT_P,135,43.8899,35,20,5106.714371,0.388162351,23.13409196,13553.12832
OAT_P,135,57.2506,35,20,5145.548515,0.401522337,23.32593554,13608.81968
OAT_P,135,49.629,35,20,5123.39561,0.393901144,23.21649853,13577.05059
OAT_P,135,48.7604,35,20,5120.870942,0.393032591,23.20402648,13573.43001
OAT_P,135,47.9543,35,20,5118.527936,0.392226534,23.19245186,13570.06994
OAT_P,135,48.249,35,20,5119.384509,0.392521218,23.19668339,13571.29834
OAT_P,135,45.4909,35,20,5111.367829,0.389763266,23.1570804,13559.80176
OAT_P,135,58.9604,35,20,5150.518211,0.403232046,23.35048621,13615.94664
OAT_P,135,47.4696,35,20,5117.119109,0.39174186,23.18549215,13568.04957
OAT_P,135,59.4894,35,20,5152.0558,0.403761018,23.35808201,13618.15167
OAT_P,135,57.3989,35,20,5145.979563,0.401670629,23.32806495,13609.43784
OAT_P,135,46.3081,35,20,5113.743099,0.390580422,23.1688144,13563.20809
OAT_P,135,52.5599,35,20,5131.91455,0.396831888,23.25858273,13589.26745
OAT_P,135,42.0034,35,20,5101.231079,0.386275952,23.10700409,13545.26483
OAT_P,135,51.5351,35,20,5128.935871,0.395807143,23.24386784,13584.99578
OAT_P,135,44.5039,35,20,5108.49902,0.388776318,23.14290826,13555.68765
OAT_P,135,58.0096,35,20,5147.75462,0.402281297,23.33683387,13611.98342
OAT_P,135,51.4726,35,20,5128.754209,0.395744646,23.24297041,13584.73526
OAT_P,135,41.7916,35,20,5100.615462,0.386064163,23.1039629,13544.38198
OAT_P,135,59.3783,35,20,5151.732877,0.403649924,23.35648675,13617.68857
OAT_P,135,52.0489,35,20,5130.42928,0.396320915,23.25124539,13587.13745
OAT_P,135,59.9769,35,20,5153.472765,0.404248492,23.36508193,13620.18371
OAT_P,135,47.6821,35,20,5117.73676,0.391954349,23.18854339,13568.93533
OAT_P,135,59.0182,35,20,5150.686212,0.403289843,23.35131615,13616.18756
OAT_P,135,56.7789,35,20,5144.177474,0.401050662,23.3191625,13606.8535
OAT_P,135,46.3587,35,20,5113.890173,0.390631019,23.16954096,13563.41901
OAT_P,135,59.8952,35,20,5153.235296,0.404166796,23.36390881,13619.84316
OAT_P,135,59.4578,35,20,5151.963951,0.403729419,23.35762828,13618.01995
OAT_P,135,52.3811,35,20,5131.39485,0.396653097,23.25601538,13588.52216
OAT_P,135,44.8262,35,20,5109.435816,0.389098601,23.1475361,13557.03109
